test ndcg 1:0.5115, 3:0.5028, 5:0.5103, 7:0.5286, 10:0.5494
test err 1:0.2474, 3:0.3370, 5:0.3635, 7:0.3782, 10:0.3862
test ndcg 1:0.4885, 3:0.5017, 5:0.5196, 7:0.5313, 10:0.5528
test err 1:0.2302, 3:0.3294, 5:0.3594, 7:0.3714, 10:0.3792
test ndcg 1:0.5414, 3:0.5127, 5:0.5227, 7:0.5368, 10:0.5583
test err 1:0.2612, 3:0.3488, 5:0.3765, 7:0.3885, 10:0.3971
test ndcg 1:0.5207, 3:0.5065, 5:0.5160, 7:0.5302, 10:0.5495
test err 1:0.2457, 3:0.3403, 5:0.3692, 7:0.3807, 10:0.3894
test ndcg 1:0.4943, 3:0.4770, 5:0.4935, 7:0.5106, 10:0.5352
test err 1:0.2414, 3:0.3293, 5:0.3569, 7:0.3708, 10:0.3799
test ndcg 1:0.4529, 3:0.4923, 5:0.4988, 7:0.5148, 10:0.5386
test err 1:0.2103, 3:0.3188, 5:0.3464, 7:0.3577, 10:0.3673
test ndcg 1:0.5241, 3:0.5072, 5:0.5166, 7:0.5352, 10:0.5471
test err 1:0.2517, 3:0.3416, 5:0.3703, 7:0.3827, 10:0.3896
test ndcg 1:0.5103, 3:0.4974, 5:0.5138, 7:0.5272, 10:0.5406
test err 1:0.2466, 3:0.3364, 5:0.3669, 7:0.3792, 10:0.3860
test ndcg 1:0.4770, 3:0.4941, 5:0.5035, 7:0.5208, 10:0.5363
test err 1:0.2250, 3:0.3301, 5:0.3574, 7:0.3695, 10:0.3771
test ndcg 1:0.4931, 3:0.5005, 5:0.5124, 7:0.5252, 10:0.5455
test err 1:0.2405, 3:0.3356, 5:0.3636, 7:0.3751, 10:0.3835
test ndcg 1:0.5218, 3:0.4986, 5:0.5165, 7:0.5272, 10:0.5452
test err 1:0.2517, 3:0.3403, 5:0.3700, 7:0.3808, 10:0.3892
test ndcg 1:0.4851, 3:0.4952, 5:0.5101, 7:0.5268, 10:0.5427
test err 1:0.2293, 3:0.3300, 5:0.3581, 7:0.3695, 10:0.3772
test ndcg 1:0.5207, 3:0.4977, 5:0.5076, 7:0.5269, 10:0.5459
test err 1:0.2457, 3:0.3378, 5:0.3668, 7:0.3784, 10:0.3865
test ndcg 1:0.5000, 3:0.5056, 5:0.5150, 7:0.5323, 10:0.5527
test err 1:0.2388, 3:0.3402, 5:0.3667, 7:0.3782, 10:0.3867
test ndcg 1:0.5195, 3:0.5215, 5:0.5229, 7:0.5374, 10:0.5549
test err 1:0.2500, 3:0.3501, 5:0.3746, 7:0.3862, 10:0.3943
test ndcg 1:0.4862, 3:0.4991, 5:0.5158, 7:0.5284, 10:0.5501
test err 1:0.2302, 3:0.3278, 5:0.3574, 7:0.3691, 10:0.3781
test ndcg 1:0.4920, 3:0.4963, 5:0.5130, 7:0.5258, 10:0.5443
test err 1:0.2379, 3:0.3328, 5:0.3633, 7:0.3739, 10:0.3822
test ndcg 1:0.5138, 3:0.5150, 5:0.5167, 7:0.5323, 10:0.5502
test err 1:0.2509, 3:0.3440, 5:0.3705, 7:0.3821, 10:0.3907
test ndcg 1:0.4965, 3:0.5091, 5:0.5135, 7:0.5276, 10:0.5481
test err 1:0.2397, 3:0.3386, 5:0.3646, 7:0.3766, 10:0.3849
test ndcg 1:0.5092, 3:0.4968, 5:0.5083, 7:0.5209, 10:0.5391
test err 1:0.2474, 3:0.3383, 5:0.3668, 7:0.3773, 10:0.3860
test ndcg 1:0.5149, 3:0.4956, 5:0.5123, 7:0.5288, 10:0.5462
test err 1:0.2431, 3:0.3341, 5:0.3625, 7:0.3750, 10:0.3833
test ndcg 1:0.5241, 3:0.5000, 5:0.5170, 7:0.5302, 10:0.5532
test err 1:0.2534, 3:0.3422, 5:0.3719, 7:0.3823, 10:0.3921
test ndcg 1:0.4816, 3:0.5046, 5:0.5113, 7:0.5210, 10:0.5454
test err 1:0.2216, 3:0.3295, 5:0.3562, 7:0.3667, 10:0.3758
test ndcg 1:0.5218, 3:0.5132, 5:0.5182, 7:0.5302, 10:0.5473
test err 1:0.2552, 3:0.3500, 5:0.3758, 7:0.3883, 10:0.3961
test ndcg 1:0.5299, 3:0.5165, 5:0.5241, 7:0.5332, 10:0.5493
test err 1:0.2543, 3:0.3484, 5:0.3765, 7:0.3869, 10:0.3946
test ndcg 1:0.5241, 3:0.5169, 5:0.5208, 7:0.5337, 10:0.5501
