**************************************************Fold-1**************************************************
test err 1:0.2319, 3:0.3307, 5:0.3570, 10:0.3763, 20:0.3830
test ndcg 1:0.4908, 3:0.4922, 5:0.4984, 10:0.5245, 20:0.5931
test err 1:0.2302, 3:0.3294, 5:0.3551, 10:0.3735, 20:0.3813
test ndcg 1:0.5126, 3:0.4927, 5:0.5004, 10:0.5330, 20:0.5968
test err 1:0.2448, 3:0.3344, 5:0.3624, 10:0.3821, 20:0.3891
test ndcg 1:0.4954, 3:0.4845, 5:0.4955, 10:0.5280, 20:0.5925
test err 1:0.2371, 3:0.3286, 5:0.3572, 10:0.3770, 20:0.3843
test ndcg 1:0.4713, 3:0.4790, 5:0.4843, 10:0.5198, 20:0.5852
test err 1:0.2224, 3:0.3192, 5:0.3467, 10:0.3673, 20:0.3747
test ndcg 1:0.4954, 3:0.4864, 5:0.4962, 10:0.5275, 20:0.5934
test err 1:0.2302, 3:0.3247, 5:0.3530, 10:0.3715, 20:0.3789
test ndcg 1:0.5126, 3:0.5097, 5:0.5149, 10:0.5414, 20:0.6046
test err 1:0.2448, 3:0.3421, 5:0.3690, 10:0.3875, 20:0.3940
test ndcg 1:0.4724, 3:0.5011, 5:0.5052, 10:0.5336, 20:0.5979
test err 1:0.2267, 3:0.3356, 5:0.3610, 10:0.3790, 20:0.3862
test ndcg 1:0.4747, 3:0.4862, 5:0.4954, 10:0.5277, 20:0.5860
test err 1:0.2284, 3:0.3280, 5:0.3544, 10:0.3744, 20:0.3812
test ndcg 1:0.4782, 3:0.4955, 5:0.5020, 10:0.5238, 20:0.5905
test err 1:0.2328, 3:0.3332, 5:0.3587, 10:0.3760, 20:0.3837
test ndcg 1:0.4816, 3:0.4811, 5:0.4866, 10:0.5159, 20:0.5836
test err 1:0.2302, 3:0.3210, 5:0.3490, 10:0.3677, 20:0.3754
test ndcg 1:0.4839, 3:0.4874, 5:0.4923, 10:0.5243, 20:0.5881
test err 1:0.2302, 3:0.3264, 5:0.3517, 10:0.3716, 20:0.3785
test ndcg 1:0.4828, 3:0.4919, 5:0.5032, 10:0.5317, 20:0.5940
test err 1:0.2310, 3:0.3253, 5:0.3548, 10:0.3740, 20:0.3809
test ndcg 1:0.4678, 3:0.4876, 5:0.4935, 10:0.5237, 20:0.5881
test err 1:0.2216, 3:0.3211, 5:0.3478, 10:0.3678, 20:0.3744
test ndcg 1:0.4805, 3:0.4831, 5:0.4847, 10:0.5173, 20:0.5826
test err 1:0.2293, 3:0.3254, 5:0.3509, 10:0.3689, 20:0.3769
test ndcg 1:0.5000, 3:0.4867, 5:0.4955, 10:0.5262, 20:0.5925
test err 1:0.2336, 3:0.3295, 5:0.3567, 10:0.3759, 20:0.3833
test ndcg 1:0.4759, 3:0.4700, 5:0.4833, 10:0.5211, 20:0.5876
test err 1:0.2276, 3:0.3180, 5:0.3448, 10:0.3660, 20:0.3733
test ndcg 1:0.4770, 3:0.4804, 5:0.4925, 10:0.5222, 20:0.5857
test err 1:0.2198, 3:0.3208, 5:0.3497, 10:0.3674, 20:0.3749
test ndcg 1:0.4954, 3:0.4915, 5:0.5030, 10:0.5275, 20:0.5933
test err 1:0.2371, 3:0.3350, 5:0.3629, 10:0.3804, 20:0.3877
test ndcg 1:0.5023, 3:0.4887, 5:0.5009, 10:0.5320, 20:0.5879
test err 1:0.2388, 3:0.3292, 5:0.3566, 10:0.3765, 20:0.3828
test ndcg 1:0.4885, 3:0.4907, 5:0.5007, 10:0.5337, 20:0.5955
test err 1:0.2319, 3:0.3277, 5:0.3555, 10:0.3747, 20:0.3817
test ndcg 1:0.5000, 3:0.5017, 5:0.5094, 10:0.5372, 20:0.6025
test err 1:0.2422, 3:0.3387, 5:0.3647, 10:0.3840, 20:0.3910
test ndcg 1:0.4908, 3:0.4947, 5:0.5017, 10:0.5300, 20:0.5972
test err 1:0.2353, 3:0.3381, 5:0.3637, 10:0.3818, 20:0.3896
test ndcg 1:0.5046, 3:0.4982, 5:0.5041, 10:0.5314, 20:0.5984
test err 1:0.2422, 3:0.3371, 5:0.3627, 10:0.3819, 20:0.3893
test ndcg 1:0.4897, 3:0.5006, 5:0.5047, 10:0.5292, 20:0.5947
test err 1:0.2328, 3:0.3369, 5:0.3621, 10:0.3801, 20:0.3877
test ndcg 1:0.4805, 3:0.4962, 5:0.5023, 10:0.5228, 20:0.5854
test err 1:0.2224, 3:0.3260, 5:0.3512, 10:0.3698, 20:0.3768
test ndcg 1:0.5046, 3:0.4968, 5:0.5091, 10:0.5350, 20:0.5978
test err 1:0.2371, 3:0.3337, 5:0.3597, 10:0.3796, 20:0.3863
test ndcg 1:0.4437, 3:0.4742, 5:0.4802, 10:0.5113, 20:0.5802
test err 1:0.2138, 3:0.3189, 5:0.3440, 10:0.3641, 20:0.3717
test ndcg 1:0.5069, 3:0.4765, 5:0.4894, 10:0.5153, 20:0.5871
test err 1:0.2440, 3:0.3287, 5:0.3574, 10:0.3761, 20:0.3839
test ndcg 1:0.4862, 3:0.4846, 5:0.4926, 10:0.5280, 20:0.5930
test err 1:0.2336, 3:0.3303, 5:0.3555, 10:0.3750, 20:0.3829
test ndcg 1:0.4586, 3:0.4659, 5:0.4750, 10:0.5154, 20:0.5828
test err 1:0.2233, 3:0.3188, 5:0.3456, 10:0.3662, 20:0.3738
test ndcg 1:0.5069, 3:0.5041, 5:0.5099, 10:0.5415, 20:0.6015
