test ndcg 1:0.5080, 3:0.5044, 5:0.5083, 7:0.5260, 10:0.5478
test ndcg 1:0.4690, 3:0.4832, 5:0.5035, 7:0.5158, 10:0.5365
test ndcg 1:0.5161, 3:0.5108, 5:0.5079, 7:0.5229, 10:0.5460
test ndcg 1:0.4920, 3:0.4945, 5:0.5073, 7:0.5207, 10:0.5407
test ndcg 1:0.5057, 3:0.5084, 5:0.5130, 7:0.5240, 10:0.5429
test ndcg 1:0.4851, 3:0.5036, 5:0.5139, 7:0.5231, 10:0.5450
test ndcg 1:0.4782, 3:0.4981, 5:0.5118, 7:0.5210, 10:0.5384
test ndcg 1:0.5276, 3:0.5079, 5:0.5109, 7:0.5250, 10:0.5432
test ndcg 1:0.5172, 3:0.5062, 5:0.5138, 7:0.5315, 10:0.5509
finish! Fold 1 best test ndcg10:0.5621
