test ndcg 1:0.4783, 3:0.5001, 5:0.5490, 7:0.5777, 10:0.6167
test ndcg 1:0.5266, 3:0.5174, 5:0.5596, 7:0.5876, 10:0.6316
test ndcg 1:0.4879, 3:0.5161, 5:0.5438, 7:0.5764, 10:0.6141
test ndcg 1:0.5121, 3:0.5237, 5:0.5757, 7:0.6018, 10:0.6457
test ndcg 1:0.5024, 3:0.5108, 5:0.5475, 7:0.5780, 10:0.6191
test ndcg 1:0.4928, 3:0.5299, 5:0.5694, 7:0.5907, 10:0.6347
test ndcg 1:0.4879, 3:0.5157, 5:0.5577, 7:0.5918, 10:0.6346
test ndcg 1:0.4928, 3:0.4875, 5:0.5543, 7:0.5843, 10:0.6293
test ndcg 1:0.4928, 3:0.5118, 5:0.5550, 7:0.5850, 10:0.6349
test ndcg 1:0.5314, 3:0.5142, 5:0.5622, 7:0.5911, 10:0.6355
test ndcg 1:0.5169, 3:0.5209, 5:0.5547, 7:0.5909, 10:0.6318
test ndcg 1:0.4783, 3:0.5150, 5:0.5460, 7:0.5787, 10:0.6210
finish! Fold 4 best test ndcg10:0.6700
