**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test err 1:0.2652, 3:0.3553, 5:0.3804, 10:0.3965, 20:0.2352
test ndcg 1:0.4040, 3:0.4445, 5:0.4962, 10:0.5729, 20:0.3727
test err 1:0.2424, 3:0.3411, 5:0.3699, 10:0.3875, 20:0.2520
test ndcg 1:0.4293, 3:0.4684, 5:0.5125, 10:0.5900, 20:0.3743
test err 1:0.2614, 3:0.3590, 5:0.3840, 10:0.4022, 20:0.2544
test ndcg 1:0.4141, 3:0.4591, 5:0.5094, 10:0.5868, 20:0.3780
test err 1:0.2500, 3:0.3502, 5:0.3764, 10:0.3951, 20:0.2539
test ndcg 1:0.4394, 3:0.4569, 5:0.5085, 10:0.5900, 20:0.3842
test err 1:0.2689, 3:0.3546, 5:0.3802, 10:0.4022, 20:0.2559
test ndcg 1:0.4343, 3:0.4675, 5:0.5213, 10:0.5976, 20:0.3859
test err 1:0.2652, 3:0.3580, 5:0.3850, 10:0.4041, 20:0.2600
test ndcg 1:0.4646, 3:0.4782, 5:0.5279, 10:0.5998, 20:0.3736
test err 1:0.2879, 3:0.3723, 5:0.4015, 10:0.4179, 20:0.2550
test ndcg 1:0.4091, 3:0.4680, 5:0.5075, 10:0.5836, 20:0.3711
test err 1:0.2462, 3:0.3487, 5:0.3752, 10:0.3925, 20:0.2395
test ndcg 1:0.4545, 3:0.4720, 5:0.5242, 10:0.6073, 20:0.3850
test err 1:0.2727, 3:0.3633, 5:0.3884, 10:0.4089, 20:0.2593
test ndcg 1:0.4394, 3:0.4579, 5:0.5117, 10:0.5983, 20:0.3758
test err 1:0.2689, 3:0.3563, 5:0.3820, 10:0.4034, 20:0.2528
test ndcg 1:0.4545, 3:0.4656, 5:0.5182, 10:0.6043, 20:0.3880
test err 1:0.2727, 3:0.3597, 5:0.3850, 10:0.4057, 20:0.2610
test ndcg 1:0.4697, 3:0.4737, 5:0.5183, 10:0.5982, 20:0.3915
test err 1:0.2689, 3:0.3642, 5:0.3867, 10:0.4066, 20:0.2665
test ndcg 1:0.3838, 3:0.4414, 5:0.5062, 10:0.5811, 20:0.3729
test err 1:0.2348, 3:0.3382, 5:0.3704, 10:0.3874, 20:0.2492
test ndcg 1:0.4444, 3:0.4658, 5:0.5097, 10:0.5847, 20:0.3693
test err 1:0.2727, 3:0.3645, 5:0.3916, 10:0.4076, 20:0.2531
test ndcg 1:0.4293, 3:0.4429, 5:0.5045, 10:0.5693, 20:0.3661
test err 1:0.2614, 3:0.3547, 5:0.3846, 10:0.3988, 20:0.2492
test ndcg 1:0.4293, 3:0.4657, 5:0.5000, 10:0.5703, 20:0.3705
test err 1:0.2538, 3:0.3591, 5:0.3838, 10:0.3990, 20:0.2507
test ndcg 1:0.3737, 3:0.4267, 5:0.4557, 10:0.5319, 20:0.3444
test err 1:0.2273, 3:0.3271, 5:0.3504, 10:0.3682, 20:0.2197
test ndcg 1:0.4747, 3:0.4329, 5:0.4897, 10:0.5669, 20:0.3645
test err 1:0.2879, 3:0.3519, 5:0.3912, 10:0.4063, 20:0.2529
test ndcg 1:0.4141, 3:0.4593, 5:0.5001, 10:0.5836, 20:0.3719
test err 1:0.2652, 3:0.3600, 5:0.3853, 10:0.4031, 20:0.2542
test ndcg 1:0.4141, 3:0.4465, 5:0.4667, 10:0.5558, 20:0.3479
test err 1:0.2576, 3:0.3524, 5:0.3691, 10:0.3929, 20:0.2376
test ndcg 1:0.4040, 3:0.4430, 5:0.4970, 10:0.5767, 20:0.3614
test err 1:0.2500, 3:0.3421, 5:0.3714, 10:0.3922, 20:0.2448
test ndcg 1:0.3838, 3:0.4387, 5:0.4747, 10:0.5568, 20:0.3591
test err 1:0.2348, 3:0.3333, 5:0.3570, 10:0.3779, 20:0.2414
test ndcg 1:0.3687, 3:0.4190, 5:0.4543, 10:0.5415, 20:0.3503
test err 1:0.2311, 3:0.3288, 5:0.3513, 10:0.3742, 20:0.2406
test ndcg 1:0.3889, 3:0.4467, 5:0.5005, 10:0.5748, 20:0.3672
test err 1:0.2311, 3:0.3368, 5:0.3619, 10:0.3815, 20:0.2427
test ndcg 1:0.4293, 3:0.4611, 5:0.4931, 10:0.5693, 20:0.3670
test err 1:0.2689, 3:0.3597, 5:0.3811, 10:0.4013, 20:0.2551
test ndcg 1:0.4293, 3:0.4487, 5:0.5235, 10:0.5770, 20:0.3688
test err 1:0.2614, 3:0.3475, 5:0.3864, 10:0.3990, 20:0.2532
